point,coordinates
182_Geneve_center,"6.117627,46.190285"
182_Geneve_vertex1,"6.120217,46.190316"
182_Geneve_vertex2,"6.118885,46.191858"
183_Geneve_center,"6.117552,46.193401"
183_Geneve_vertex1,"6.120142,46.193431"
183_Geneve_vertex2,"6.118809,46.194974"
184_Geneve_center,"6.117476,46.196517"
184_Geneve_vertex1,"6.120066,46.196547"
184_Geneve_vertex2,"6.118733,46.19809"
185_Geneve_center,"6.1174,46.199632"
185_Geneve_vertex1,"6.119991,46.199663"
185_Geneve_vertex2,"6.118658,46.201205"
186_Geneve_center,"6.117325,46.202748"
186_Geneve_vertex1,"6.119915,46.202778"
186_Geneve_vertex2,"6.118582,46.204321"
187_Geneve_center,"6.117249,46.205864"
187_Geneve_vertex1,"6.11984,46.205894"
187_Geneve_vertex2,"6.118507,46.207437"
188_Geneve_center,"6.117173,46.20898"
188_Geneve_vertex1,"6.119764,46.20901"
188_Geneve_vertex2,"6.118431,46.210553"
189_Geneve_center,"6.117098,46.212095"
189_Geneve_vertex1,"6.119689,46.212126"
189_Geneve_vertex2,"6.118355,46.213668"
190_Geneve_center,"6.117022,46.215211"
190_Geneve_vertex1,"6.119613,46.215241"
190_Geneve_vertex2,"6.11828,46.216784"
191_Geneve_center,"6.116946,46.218327"
191_Geneve_vertex1,"6.119538,46.218357"
191_Geneve_vertex2,"6.118204,46.2199"
192_Geneve_center,"6.11687,46.221442"
192_Geneve_vertex1,"6.119462,46.221473"
192_Geneve_vertex2,"6.118128,46.223015"
193_Geneve_center,"6.116795,46.224558"
193_Geneve_vertex1,"6.119386,46.224588"
193_Geneve_vertex2,"6.118053,46.226131"
194_Geneve_center,"6.116719,46.227674"
194_Geneve_vertex1,"6.119311,46.227704"
194_Geneve_vertex2,"6.117977,46.229247"
195_Geneve_center,"6.116643,46.23079"
195_Geneve_vertex1,"6.119235,46.23082"
195_Geneve_vertex2,"6.117901,46.232363"
196_Geneve_center,"6.116567,46.233905"
196_Geneve_vertex1,"6.11916,46.233936"
196_Geneve_vertex2,"6.117826,46.235478"
197_Geneve_center,"6.116492,46.237021"
197_Geneve_vertex1,"6.119084,46.237051"
197_Geneve_vertex2,"6.11775,46.238594"
198_Geneve_center,"6.116416,46.240137"
198_Geneve_vertex1,"6.119008,46.240167"
198_Geneve_vertex2,"6.117674,46.24171"
199_Geneve_center,"6.11634,46.243253"
199_Geneve_vertex1,"6.118933,46.243283"
199_Geneve_vertex2,"6.117598,46.244826"
199_Geneve_vertex3,"6.115006,46.244795"
200_Geneve_center,"6.122153,46.163847"
200_Geneve_vertex1,"6.124742,46.163877"
200_Geneve_vertex2,"6.12341,46.16542"
200_Geneve_vertex5,"6.120897,46.162274"
200_Geneve_vertex6,"6.123485,46.162304"
201_Geneve_center,"6.122078,46.166963"
201_Geneve_vertex1,"6.124667,46.166993"
201_Geneve_vertex2,"6.123335,46.168536"
202_Geneve_center,"6.122003,46.170078"
202_Geneve_vertex1,"6.124592,46.170109"
202_Geneve_vertex2,"6.12326,46.171651"
203_Geneve_center,"6.121927,46.173194"
203_Geneve_vertex1,"6.124517,46.173224"
203_Geneve_vertex2,"6.123184,46.174767"
204_Geneve_center,"6.121852,46.17631"
204_Geneve_vertex1,"6.124441,46.17634"
204_Geneve_vertex2,"6.123109,46.177883"
205_Geneve_center,"6.121776,46.179426"
205_Geneve_vertex1,"6.124366,46.179456"
205_Geneve_vertex2,"6.123034,46.180999"
206_Geneve_center,"6.121701,46.182541"
206_Geneve_vertex1,"6.124291,46.182572"
206_Geneve_vertex2,"6.122958,46.184114"
207_Geneve_center,"6.121626,46.185657"
207_Geneve_vertex1,"6.124216,46.185687"
207_Geneve_vertex2,"6.122883,46.18723"
208_Geneve_center,"6.12155,46.188773"
208_Geneve_vertex1,"6.12414,46.188803"
208_Geneve_vertex2,"6.122808,46.190346"
209_Geneve_center,"6.121475,46.191888"
209_Geneve_vertex1,"6.124065,46.191919"
209_Geneve_vertex2,"6.122732,46.193461"
210_Geneve_center,"6.121399,46.195004"
210_Geneve_vertex1,"6.12399,46.195034"
210_Geneve_vertex2,"6.122657,46.196577"
211_Geneve_center,"6.121324,46.19812"
211_Geneve_vertex1,"6.123914,46.19815"
211_Geneve_vertex2,"6.122581,46.199693"
212_Geneve_center,"6.121248,46.201236"
212_Geneve_vertex1,"6.123839,46.201266"
212_Geneve_vertex2,"6.122506,46.202809"
213_Geneve_center,"6.121173,46.204351"
213_Geneve_vertex1,"6.123764,46.204382"
213_Geneve_vertex2,"6.122431,46.205924"
214_Geneve_center,"6.121098,46.207467"
214_Geneve_vertex1,"6.123688,46.207497"
214_Geneve_vertex2,"6.122355,46.20904"
215_Geneve_center,"6.121022,46.210583"
215_Geneve_vertex1,"6.123613,46.210613"
215_Geneve_vertex2,"6.12228,46.212156"
216_Geneve_center,"6.120947,46.213699"
216_Geneve_vertex1,"6.123538,46.213729"
216_Geneve_vertex2,"6.122204,46.215272"
217_Geneve_center,"6.120871,46.216814"
217_Geneve_vertex1,"6.123462,46.216845"
217_Geneve_vertex2,"6.122129,46.218387"
218_Geneve_center,"6.120796,46.21993"
218_Geneve_vertex1,"6.123387,46.21996"
218_Geneve_vertex2,"6.122054,46.221503"
219_Geneve_center,"6.12072,46.223046"
219_Geneve_vertex1,"6.123312,46.223076"
219_Geneve_vertex2,"6.121978,46.224619"
220_Geneve_center,"6.120645,46.226161"
220_Geneve_vertex1,"6.123236,46.226192"
220_Geneve_vertex2,"6.121903,46.227734"
221_Geneve_center,"6.120569,46.229277"
221_Geneve_vertex1,"6.123161,46.229307"
221_Geneve_vertex2,"6.121827,46.23085"
222_Geneve_center,"6.120493,46.232393"
222_Geneve_vertex1,"6.123086,46.232423"
222_Geneve_vertex2,"6.121752,46.233966"
223_Geneve_center,"6.120418,46.235509"
223_Geneve_vertex1,"6.12301,46.235539"
223_Geneve_vertex2,"6.121676,46.237082"
224_Geneve_center,"6.120342,46.238624"
224_Geneve_vertex1,"6.122935,46.238655"
224_Geneve_vertex2,"6.121601,46.240197"
225_Geneve_center,"6.120267,46.24174"
225_Geneve_vertex1,"6.122859,46.24177"
225_Geneve_vertex2,"6.121525,46.243313"
226_Geneve_center,"6.120191,46.244856"
226_Geneve_vertex1,"6.122784,46.244886"
226_Geneve_vertex2,"6.12145,46.246429"
226_Geneve_vertex3,"6.118857,46.246399"
227_Geneve_center,"6.126074,46.162334"
227_Geneve_vertex1,"6.128663,46.162365"
227_Geneve_vertex2,"6.127331,46.163907"
227_Geneve_vertex5,"6.124817,46.160761"
227_Geneve_vertex6,"6.127406,46.160792"
228_Geneve_center,"6.125999,46.16545"
228_Geneve_vertex1,"6.128588,46.16548"
228_Geneve_vertex2,"6.127256,46.167023"
229_Geneve_center,"6.125924,46.168566"
229_Geneve_vertex1,"6.128513,46.168596"
229_Geneve_vertex2,"6.127181,46.170139"
230_Geneve_center,"6.125849,46.171682"
230_Geneve_vertex1,"6.128438,46.171712"
230_Geneve_vertex2,"6.127106,46.173255"
231_Geneve_center,"6.125774,46.174797"
231_Geneve_vertex1,"6.128363,46.174827"
231_Geneve_vertex2,"6.127031,46.17637"
232_Geneve_center,"6.125699,46.177913"
232_Geneve_vertex1,"6.128288,46.177943"
232_Geneve_vertex2,"6.126956,46.179486"
233_Geneve_center,"6.125623,46.181029"
233_Geneve_vertex1,"6.128213,46.181059"
233_Geneve_vertex2,"6.126881,46.182602"
234_Geneve_center,"6.125548,46.184144"
234_Geneve_vertex1,"6.128138,46.184175"
234_Geneve_vertex2,"6.126806,46.185717"
235_Geneve_center,"6.125473,46.18726"
235_Geneve_vertex1,"6.128063,46.18729"
235_Geneve_vertex2,"6.12673,46.188833"
236_Geneve_center,"6.125398,46.190376"
236_Geneve_vertex1,"6.127988,46.190406"
236_Geneve_vertex2,"6.126655,46.191949"
237_Geneve_center,"6.125323,46.193492"
237_Geneve_vertex1,"6.127913,46.193522"
237_Geneve_vertex2,"6.12658,46.195065"
238_Geneve_center,"6.125247,46.196607"
238_Geneve_vertex1,"6.127838,46.196638"
238_Geneve_vertex2,"6.126505,46.19818"
239_Geneve_center,"6.125172,46.199723"
239_Geneve_vertex1,"6.127763,46.199753"
239_Geneve_vertex2,"6.12643,46.201296"
240_Geneve_center,"6.125097,46.202839"
240_Geneve_vertex1,"6.127688,46.202869"
240_Geneve_vertex2,"6.126355,46.204412"
241_Geneve_center,"6.125022,46.205955"
241_Geneve_vertex1,"6.127613,46.205985"
241_Geneve_vertex2,"6.126279,46.207528"
242_Geneve_center,"6.124946,46.20907"
242_Geneve_vertex1,"6.127537,46.2091"
242_Geneve_vertex2,"6.126204,46.210643"
243_Geneve_center,"6.124871,46.212186"
243_Geneve_vertex1,"6.127462,46.212216"
243_Geneve_vertex2,"6.126129,46.213759"
244_Geneve_center,"6.124796,46.215302"
244_Geneve_vertex1,"6.127387,46.215332"
244_Geneve_vertex2,"6.126054,46.216875"
245_Geneve_center,"6.124721,46.218418"
245_Geneve_vertex1,"6.127312,46.218448"
245_Geneve_vertex2,"6.125979,46.21999"
246_Geneve_center,"6.124645,46.221533"
246_Geneve_vertex1,"6.127237,46.221563"
246_Geneve_vertex2,"6.125903,46.223106"
247_Geneve_center,"6.12457,46.224649"
247_Geneve_vertex1,"6.127162,46.224679"
247_Geneve_vertex2,"6.125828,46.226222"
248_Geneve_center,"6.124495,46.227765"
248_Geneve_vertex1,"6.127087,46.227795"
248_Geneve_vertex2,"6.125753,46.229338"
249_Geneve_center,"6.124419,46.23088"
249_Geneve_vertex1,"6.127011,46.230911"
249_Geneve_vertex2,"6.125678,46.232453"
250_Geneve_center,"6.124344,46.233996"
250_Geneve_vertex1,"6.126936,46.234026"
250_Geneve_vertex2,"6.125602,46.235569"
251_Geneve_center,"6.124269,46.237112"
251_Geneve_vertex1,"6.126861,46.237142"
251_Geneve_vertex2,"6.125527,46.238685"
252_Geneve_center,"6.124193,46.240228"
252_Geneve_vertex1,"6.126786,46.240258"
252_Geneve_vertex2,"6.125452,46.241801"
253_Geneve_center,"6.124118,46.243343"
253_Geneve_vertex1,"6.126711,46.243374"
253_Geneve_vertex2,"6.125377,46.244916"
254_Geneve_center,"6.124043,46.246459"
254_Geneve_vertex1,"6.126635,46.246489"
254_Geneve_vertex2,"6.125301,46.248032"
254_Geneve_vertex3,"6.122708,46.248002"
255_Geneve_center,"6.129995,46.160822"
255_Geneve_vertex1,"6.132584,46.160852"
255_Geneve_vertex2,"6.131252,46.162395"
255_Geneve_vertex5,"6.128738,46.159249"
255_Geneve_vertex6,"6.131327,46.159279"
256_Geneve_center,"6.12992,46.163937"
256_Geneve_vertex1,"6.132509,46.163967"
256_Geneve_vertex2,"6.131177,46.16551"
257_Geneve_center,"6.129845,46.167053"
257_Geneve_vertex1,"6.132434,46.167083"
257_Geneve_vertex2,"6.131102,46.168626"
258_Geneve_center,"6.12977,46.170169"
258_Geneve_vertex1,"6.132359,46.170199"
258_Geneve_vertex2,"6.131027,46.171742"
259_Geneve_center,"6.129695,46.173285"
259_Geneve_vertex1,"6.132285,46.173315"
259_Geneve_vertex2,"6.130953,46.174857"
260_Geneve_center,"6.12962,46.1764"
260_Geneve_vertex1,"6.13221,46.17643"
260_Geneve_vertex2,"6.130878,46.177973"
261_Geneve_center,"6.129545,46.179516"
261_Geneve_vertex1,"6.132135,46.179546"
261_Geneve_vertex2,"6.130803,46.181089"
262_Geneve_center,"6.12947,46.182632"
262_Geneve_vertex1,"6.13206,46.182662"
262_Geneve_vertex2,"6.130728,46.184205"
263_Geneve_center,"6.129395,46.185748"
263_Geneve_vertex1,"6.131985,46.185778"
263_Geneve_vertex2,"6.130653,46.18732"
264_Geneve_center,"6.12932,46.188863"
264_Geneve_vertex1,"6.131911,46.188893"
264_Geneve_vertex2,"6.130578,46.190436"
265_Geneve_center,"6.129246,46.191979"
265_Geneve_vertex1,"6.131836,46.192009"
265_Geneve_vertex2,"6.130503,46.193552"
266_Geneve_center,"6.129171,46.195095"
266_Geneve_vertex1,"6.131761,46.195125"
266_Geneve_vertex2,"6.130428,46.196668"
267_Geneve_center,"6.129096,46.19821"
267_Geneve_vertex1,"6.131686,46.19824"
267_Geneve_vertex2,"6.130353,46.199783"
268_Geneve_center,"6.129021,46.201326"
268_Geneve_vertex1,"6.131611,46.201356"
268_Geneve_vertex2,"6.130278,46.202899"
269_Geneve_center,"6.128945,46.204442"
269_Geneve_vertex1,"6.131536,46.204472"
269_Geneve_vertex2,"6.130203,46.206015"
270_Geneve_center,"6.12887,46.207558"
270_Geneve_vertex1,"6.131461,46.207588"
270_Geneve_vertex2,"6.130128,46.209131"
271_Geneve_center,"6.128795,46.210673"
271_Geneve_vertex1,"6.131387,46.210703"
271_Geneve_vertex2,"6.130053,46.212246"
272_Geneve_center,"6.12872,46.213789"
272_Geneve_vertex1,"6.131312,46.213819"
272_Geneve_vertex2,"6.129979,46.215362"
273_Geneve_center,"6.128645,46.216905"
273_Geneve_vertex1,"6.131237,46.216935"
273_Geneve_vertex2,"6.129904,46.218478"
274_Geneve_center,"6.12857,46.220021"
274_Geneve_vertex1,"6.131162,46.220051"
274_Geneve_vertex2,"6.129829,46.221593"
275_Geneve_center,"6.128495,46.223136"
275_Geneve_vertex1,"6.131087,46.223166"
275_Geneve_vertex2,"6.129754,46.224709"
276_Geneve_center,"6.12842,46.226252"
276_Geneve_vertex1,"6.131012,46.226282"
276_Geneve_vertex2,"6.129679,46.227825"
277_Geneve_center,"6.128345,46.229368"
277_Geneve_vertex1,"6.130937,46.229398"
277_Geneve_vertex2,"6.129604,46.230941"
278_Geneve_center,"6.12827,46.232483"
278_Geneve_vertex1,"6.130862,46.232514"
278_Geneve_vertex2,"6.129528,46.234056"
279_Geneve_center,"6.128195,46.235599"
279_Geneve_vertex1,"6.130787,46.235629"
279_Geneve_vertex2,"6.129453,46.237172"
280_Geneve_center,"6.12812,46.238715"
280_Geneve_vertex1,"6.130712,46.238745"
280_Geneve_vertex2,"6.129378,46.240288"
281_Geneve_center,"6.128045,46.241831"
281_Geneve_vertex1,"6.130637,46.241861"
281_Geneve_vertex2,"6.129303,46.243404"
282_Geneve_center,"6.127969,46.244946"
282_Geneve_vertex1,"6.130562,46.244977"
282_Geneve_vertex2,"6.129228,46.246519"
283_Geneve_center,"6.127894,46.248062"
283_Geneve_vertex1,"6.130487,46.248092"
283_Geneve_vertex2,"6.129153,46.249635"
283_Geneve_vertex3,"6.12656,46.249605"
284_Geneve_center,"6.133841,46.162425"
284_Geneve_vertex1,"6.13643,46.162454"
284_Geneve_vertex2,"6.135098,46.163997"
284_Geneve_vertex6,"6.135173,46.160882"
285_Geneve_center,"6.133766,46.16554"
285_Geneve_vertex1,"6.136355,46.16557"
285_Geneve_vertex2,"6.135023,46.167113"
286_Geneve_center,"6.133691,46.168656"
286_Geneve_vertex1,"6.136281,46.168686"
286_Geneve_vertex2,"6.134949,46.170229"
287_Geneve_center,"6.133617,46.171772"
287_Geneve_vertex1,"6.136206,46.171802"
287_Geneve_vertex2,"6.134874,46.173345"
288_Geneve_center,"6.133542,46.174887"
288_Geneve_vertex1,"6.136131,46.174917"
288_Geneve_vertex2,"6.134799,46.17646"
289_Geneve_center,"6.133467,46.178003"
289_Geneve_vertex1,"6.136057,46.178033"
289_Geneve_vertex2,"6.134725,46.179576"
290_Geneve_center,"6.133393,46.181119"
290_Geneve_vertex1,"6.135982,46.181149"
290_Geneve_vertex2,"6.13465,46.182692"
291_Geneve_center,"6.133318,46.184235"
291_Geneve_vertex1,"6.135908,46.184265"
291_Geneve_vertex2,"6.134575,46.185808"
292_Geneve_center,"6.133243,46.18735"
292_Geneve_vertex1,"6.135833,46.18738"
292_Geneve_vertex2,"6.134501,46.188923"
293_Geneve_center,"6.133168,46.190466"
293_Geneve_vertex1,"6.135758,46.190496"
293_Geneve_vertex2,"6.134426,46.192039"
294_Geneve_center,"6.133093,46.193582"
294_Geneve_vertex1,"6.135684,46.193612"
294_Geneve_vertex2,"6.134351,46.195155"
295_Geneve_center,"6.133019,46.196698"
295_Geneve_vertex1,"6.135609,46.196728"
295_Geneve_vertex2,"6.134277,46.19827"
296_Geneve_center,"6.132944,46.199813"
296_Geneve_vertex1,"6.135535,46.199843"
296_Geneve_vertex2,"6.134202,46.201386"
297_Geneve_center,"6.132869,46.202929"
297_Geneve_vertex1,"6.13546,46.202959"
297_Geneve_vertex2,"6.134127,46.204502"
298_Geneve_center,"6.132794,46.206045"
298_Geneve_vertex1,"6.135385,46.206075"
298_Geneve_vertex2,"6.134052,46.207618"
299_Geneve_center,"6.13272,46.209161"
299_Geneve_vertex1,"6.135311,46.209191"
299_Geneve_vertex2,"6.133978,46.210733"
300_Geneve_center,"6.132645,46.212276"
300_Geneve_vertex1,"6.135236,46.212306"
300_Geneve_vertex2,"6.133903,46.213849"
301_Geneve_center,"6.13257,46.215392"
301_Geneve_vertex1,"6.135161,46.215422"
301_Geneve_vertex2,"6.133828,46.216965"
302_Geneve_center,"6.132495,46.218508"
302_Geneve_vertex1,"6.135087,46.218538"
302_Geneve_vertex2,"6.133753,46.220081"
303_Geneve_center,"6.13242,46.221623"
303_Geneve_vertex1,"6.135012,46.221653"
303_Geneve_vertex2,"6.133679,46.223196"
304_Geneve_center,"6.132345,46.224739"
304_Geneve_vertex1,"6.134937,46.224769"
304_Geneve_vertex2,"6.133604,46.226312"
305_Geneve_center,"6.13227,46.227855"
305_Geneve_vertex1,"6.134862,46.227885"
305_Geneve_vertex2,"6.133529,46.229428"
306_Geneve_center,"6.132196,46.230971"
306_Geneve_vertex1,"6.134788,46.231001"
306_Geneve_vertex2,"6.133454,46.232544"
307_Geneve_center,"6.132121,46.234086"
307_Geneve_vertex1,"6.134713,46.234116"
307_Geneve_vertex2,"6.133379,46.235659"
308_Geneve_center,"6.132046,46.237202"
308_Geneve_vertex1,"6.134638,46.237232"
308_Geneve_vertex2,"6.133305,46.238775"
309_Geneve_center,"6.131971,46.240318"
309_Geneve_vertex1,"6.134563,46.240348"
309_Geneve_vertex2,"6.13323,46.241891"
310_Geneve_center,"6.131896,46.243434"
310_Geneve_vertex1,"6.134489,46.243464"
310_Geneve_vertex2,"6.133155,46.245007"
311_Geneve_center,"6.131821,46.246549"
311_Geneve_vertex1,"6.134414,46.246579"
311_Geneve_vertex2,"6.13308,46.248122"
312_Geneve_center,"6.137761,46.160912"
312_Geneve_vertex1,"6.14035,46.160941"
312_Geneve_vertex2,"6.139018,46.162484"
312_Geneve_vertex5,"6.136504,46.159339"
312_Geneve_vertex6,"6.139093,46.159369"
313_Geneve_center,"6.137687,46.164027"
313_Geneve_vertex1,"6.140276,46.164057"
313_Geneve_vertex2,"6.138944,46.1656"
314_Geneve_center,"6.137612,46.167143"
314_Geneve_vertex1,"6.140201,46.167173"
314_Geneve_vertex2,"6.13887,46.168716"
315_Geneve_center,"6.137538,46.170259"
315_Geneve_vertex1,"6.140127,46.170289"
315_Geneve_vertex2,"6.138795,46.171832"
316_Geneve_center,"6.137463,46.173375"
316_Geneve_vertex1,"6.140053,46.173404"
316_Geneve_vertex2,"6.138721,46.174947"
317_Geneve_center,"6.137389,46.17649"
317_Geneve_vertex1,"6.139978,46.17652"
317_Geneve_vertex2,"6.138646,46.178063"
318_Geneve_center,"6.137314,46.179606"
318_Geneve_vertex1,"6.139904,46.179636"
318_Geneve_vertex2,"6.138572,46.181179"
319_Geneve_center,"6.13724,46.182722"
319_Geneve_vertex1,"6.13983,46.182752"
319_Geneve_vertex2,"6.138498,46.184295"
320_Geneve_center,"6.137165,46.185837"
320_Geneve_vertex1,"6.139755,46.185867"
320_Geneve_vertex2,"6.138423,46.18741"
321_Geneve_center,"6.137091,46.188953"
321_Geneve_vertex1,"6.139681,46.188983"
321_Geneve_vertex2,"6.138349,46.190526"
322_Geneve_center,"6.137016,46.192069"
322_Geneve_vertex1,"6.139606,46.192099"
322_Geneve_vertex2,"6.138274,46.193642"
323_Geneve_center,"6.136942,46.195185"
323_Geneve_vertex1,"6.139532,46.195215"
323_Geneve_vertex2,"6.1382,46.196757"
324_Geneve_center,"6.136867,46.1983"
324_Geneve_vertex1,"6.139458,46.19833"
324_Geneve_vertex2,"6.138125,46.199873"
325_Geneve_center,"6.136793,46.201416"
325_Geneve_vertex1,"6.139383,46.201446"
325_Geneve_vertex2,"6.138051,46.202989"
326_Geneve_center,"6.136718,46.204532"
326_Geneve_vertex1,"6.139309,46.204562"
326_Geneve_vertex2,"6.137976,46.206105"
327_Geneve_center,"6.136643,46.207648"
327_Geneve_vertex1,"6.139234,46.207677"
327_Geneve_vertex2,"6.137902,46.20922"
328_Geneve_center,"6.136569,46.210763"
328_Geneve_vertex1,"6.13916,46.210793"
328_Geneve_vertex2,"6.137827,46.212336"
329_Geneve_center,"6.136494,46.213879"
329_Geneve_vertex1,"6.139085,46.213909"
329_Geneve_vertex2,"6.137753,46.215452"
330_Geneve_center,"6.13642,46.216995"
330_Geneve_vertex1,"6.139011,46.217025"
330_Geneve_vertex2,"6.137678,46.218568"
331_Geneve_center,"6.136345,46.220111"
331_Geneve_vertex1,"6.138937,46.22014"
331_Geneve_vertex2,"6.137603,46.221683"
332_Geneve_center,"6.13627,46.223226"
332_Geneve_vertex1,"6.138862,46.223256"
332_Geneve_vertex2,"6.137529,46.224799"
333_Geneve_center,"6.136196,46.226342"
333_Geneve_vertex1,"6.138788,46.226372"
333_Geneve_vertex2,"6.137454,46.227915"
334_Geneve_center,"6.136121,46.229458"
334_Geneve_vertex1,"6.138713,46.229488"
334_Geneve_vertex2,"6.13738,46.231031"
335_Geneve_center,"6.136046,46.232574"
335_Geneve_vertex1,"6.138639,46.232603"
335_Geneve_vertex2,"6.137305,46.234146"
336_Geneve_center,"6.135972,46.235689"
336_Geneve_vertex1,"6.138564,46.235719"
336_Geneve_vertex2,"6.137231,46.237262"
337_Geneve_center,"6.135897,46.238805"
337_Geneve_vertex1,"6.13849,46.238835"
337_Geneve_vertex2,"6.137156,46.240378"
338_Geneve_center,"6.135822,46.241921"
338_Geneve_vertex1,"6.138415,46.241951"
338_Geneve_vertex2,"6.137081,46.243494"
339_Geneve_center,"6.135748,46.245036"
339_Geneve_vertex1,"6.13834,46.245066"
339_Geneve_vertex2,"6.137007,46.246609"
340_Geneve_center,"6.135673,46.248152"
340_Geneve_vertex1,"6.138266,46.248182"
340_Geneve_vertex2,"6.136932,46.249725"
340_Geneve_vertex3,"6.134339,46.249695"
341_Geneve_center,"6.141607,46.162514"
341_Geneve_vertex1,"6.144196,46.162544"
341_Geneve_vertex2,"6.142865,46.164087"
341_Geneve_vertex6,"6.142939,46.160971"
342_Geneve_center,"6.141533,46.16563"
342_Geneve_vertex1,"6.144122,46.16566"
342_Geneve_vertex2,"6.14279,46.167203"
343_Geneve_center,"6.141459,46.168746"
343_Geneve_vertex1,"6.144048,46.168775"
343_Geneve_vertex2,"6.142716,46.170318"
344_Geneve_center,"6.141385,46.171861"
344_Geneve_vertex1,"6.143974,46.171891"
344_Geneve_vertex2,"6.142642,46.173434"
345_Geneve_center,"6.14131,46.174977"
345_Geneve_vertex1,"6.1439,46.175007"
345_Geneve_vertex2,"6.142568,46.17655"
346_Geneve_center,"6.141236,46.178093"
346_Geneve_vertex1,"6.143826,46.178123"
346_Geneve_vertex2,"6.142494,46.179666"
347_Geneve_center,"6.141162,46.181209"
347_Geneve_vertex1,"6.143751,46.181238"
347_Geneve_vertex2,"6.142419,46.182781"
348_Geneve_center,"6.141087,46.184324"
348_Geneve_vertex1,"6.143677,46.184354"
348_Geneve_vertex2,"6.142345,46.185897"
349_Geneve_center,"6.141013,46.18744"
349_Geneve_vertex1,"6.143603,46.18747"
349_Geneve_vertex2,"6.142271,46.189013"
350_Geneve_center,"6.140939,46.190556"
350_Geneve_vertex1,"6.143529,46.190586"
350_Geneve_vertex2,"6.142197,46.192129"
351_Geneve_center,"6.140864,46.193672"
351_Geneve_vertex1,"6.143455,46.193701"
351_Geneve_vertex2,"6.142122,46.195244"
352_Geneve_center,"6.14079,46.196787"
352_Geneve_vertex1,"6.143381,46.196817"
352_Geneve_vertex2,"6.142048,46.19836"
353_Geneve_center,"6.140716,46.199903"
353_Geneve_vertex1,"6.143306,46.199933"
353_Geneve_vertex2,"6.141974,46.201476"
354_Geneve_center,"6.140641,46.203019"
354_Geneve_vertex1,"6.143232,46.203049"
354_Geneve_vertex2,"6.1419,46.204592"
355_Geneve_center,"6.140567,46.206134"
355_Geneve_vertex1,"6.143158,46.206164"
355_Geneve_vertex2,"6.141825,46.207707"
356_Geneve_center,"6.140493,46.20925"
356_Geneve_vertex1,"6.143084,46.20928"
356_Geneve_vertex2,"6.141751,46.210823"
357_Geneve_center,"6.140418,46.212366"
357_Geneve_vertex1,"6.14301,46.212396"
357_Geneve_vertex2,"6.141677,46.213939"
358_Geneve_center,"6.140344,46.215482"
358_Geneve_vertex1,"6.142935,46.215512"
358_Geneve_vertex2,"6.141602,46.217054"
359_Geneve_center,"6.14027,46.218597"
359_Geneve_vertex1,"6.142861,46.218627"
359_Geneve_vertex2,"6.141528,46.22017"
360_Geneve_center,"6.140195,46.221713"
360_Geneve_vertex1,"6.142787,46.221743"
360_Geneve_vertex2,"6.141454,46.223286"
361_Geneve_center,"6.140121,46.224829"
361_Geneve_vertex1,"6.142713,46.224859"
361_Geneve_vertex2,"6.141379,46.226402"
362_Geneve_center,"6.140046,46.227945"
362_Geneve_vertex1,"6.142638,46.227974"
362_Geneve_vertex2,"6.141305,46.229517"
363_Geneve_center,"6.139972,46.23106"
363_Geneve_vertex1,"6.142564,46.23109"
363_Geneve_vertex2,"6.141231,46.232633"
364_Geneve_center,"6.139897,46.234176"
364_Geneve_vertex1,"6.14249,46.234206"
364_Geneve_vertex2,"6.141156,46.235749"
365_Geneve_center,"6.139823,46.237292"
365_Geneve_vertex1,"6.142415,46.237322"
365_Geneve_vertex2,"6.141082,46.238865"
366_Geneve_center,"6.139749,46.240408"
366_Geneve_vertex1,"6.142341,46.240437"
366_Geneve_vertex2,"6.141008,46.24198"
367_Geneve_center,"6.139674,46.243523"
367_Geneve_vertex1,"6.142267,46.243553"
367_Geneve_vertex2,"6.140933,46.245096"
368_Geneve_center,"6.1396,46.246639"
368_Geneve_vertex1,"6.142192,46.246669"
368_Geneve_vertex2,"6.140859,46.248212"
369_Geneve_center,"6.145528,46.161001"
369_Geneve_vertex1,"6.148116,46.161031"
369_Geneve_vertex2,"6.146785,46.162574"
369_Geneve_vertex5,"6.14427,46.159428"
369_Geneve_vertex6,"6.146859,46.159458"
370_Geneve_center,"6.145454,46.164117"
370_Geneve_vertex1,"6.148042,46.164146"
370_Geneve_vertex2,"6.146711,46.165689"
371_Geneve_center,"6.14538,46.167232"
371_Geneve_vertex1,"6.147969,46.167262"
371_Geneve_vertex2,"6.146637,46.168805"
372_Geneve_center,"6.145305,46.170348"
372_Geneve_vertex1,"6.147895,46.170378"
372_Geneve_vertex2,"6.146563,46.171921"
373_Geneve_center,"6.145231,46.173464"
373_Geneve_vertex1,"6.147821,46.173494"
373_Geneve_vertex2,"6.146489,46.175037"
374_Geneve_center,"6.145157,46.17658"
374_Geneve_vertex1,"6.147747,46.176609"
374_Geneve_vertex2,"6.146415,46.178152"
375_Geneve_center,"6.145083,46.179695"
375_Geneve_vertex1,"6.147673,46.179725"
375_Geneve_vertex2,"6.146341,46.181268"
376_Geneve_center,"6.145009,46.182811"
376_Geneve_vertex1,"6.147599,46.182841"
376_Geneve_vertex2,"6.146267,46.184384"
377_Geneve_center,"6.144935,46.185927"
377_Geneve_vertex1,"6.147525,46.185957"
377_Geneve_vertex2,"6.146193,46.1875"
378_Geneve_center,"6.144861,46.189043"
378_Geneve_vertex1,"6.147451,46.189072"
