point,coordinates
35_Geneve_center,"6.089852,46.213331"
35_Geneve_vertex1,"6.092443,46.213362"
35_Geneve_vertex2,"6.091109,46.214905"
36_Geneve_center,"6.089774,46.216447"
36_Geneve_vertex1,"6.092366,46.216478"
36_Geneve_vertex2,"6.091031,46.21802"
37_Geneve_center,"6.089697,46.219563"
37_Geneve_vertex1,"6.092289,46.219594"
37_Geneve_vertex2,"6.090954,46.221136"
38_Geneve_center,"6.08962,46.222678"
38_Geneve_vertex1,"6.092211,46.222709"
38_Geneve_vertex2,"6.090877,46.224252"
39_Geneve_center,"6.089542,46.225794"
39_Geneve_vertex1,"6.092134,46.225825"
39_Geneve_vertex2,"6.0908,46.227367"
39_Geneve_vertex3,"6.088208,46.227336"
40_Geneve_center,"6.089465,46.22891"
40_Geneve_vertex1,"6.092057,46.228941"
40_Geneve_vertex2,"6.090722,46.230483"
40_Geneve_vertex3,"6.08813,46.230452"
40_Geneve_vertex4,"6.086873,46.228879"
41_Geneve_center,"6.094624,46.177547"
41_Geneve_vertex1,"6.097213,46.177578"
41_Geneve_vertex2,"6.09588,46.17912"
41_Geneve_vertex5,"6.093368,46.175974"
41_Geneve_vertex6,"6.095957,46.176005"
42_Geneve_center,"6.094547,46.180663"
42_Geneve_vertex1,"6.097137,46.180693"
42_Geneve_vertex2,"6.095803,46.182236"
43_Geneve_center,"6.09447,46.183778"
43_Geneve_vertex1,"6.09706,46.183809"
43_Geneve_vertex2,"6.095726,46.185352"
44_Geneve_center,"6.094393,46.186894"
44_Geneve_vertex1,"6.096983,46.186925"
44_Geneve_vertex2,"6.09565,46.188467"
45_Geneve_center,"6.094316,46.19001"
45_Geneve_vertex1,"6.096906,46.190041"
45_Geneve_vertex2,"6.095573,46.191583"
46_Geneve_center,"6.094239,46.193125"
46_Geneve_vertex1,"6.096829,46.193156"
46_Geneve_vertex2,"6.095496,46.194699"
47_Geneve_center,"6.094162,46.196241"
47_Geneve_vertex1,"6.096752,46.196272"
47_Geneve_vertex2,"6.095419,46.197814"
48_Geneve_center,"6.094085,46.199357"
48_Geneve_vertex1,"6.096676,46.199388"
48_Geneve_vertex2,"6.095342,46.20093"
49_Geneve_center,"6.094008,46.202473"
49_Geneve_vertex1,"6.096599,46.202503"
49_Geneve_vertex2,"6.095265,46.204046"
50_Geneve_center,"6.093931,46.205588"
50_Geneve_vertex1,"6.096522,46.205619"
50_Geneve_vertex2,"6.095188,46.207162"
51_Geneve_center,"6.093854,46.208704"
51_Geneve_vertex1,"6.096445,46.208735"
51_Geneve_vertex2,"6.095111,46.210277"
52_Geneve_center,"6.093777,46.21182"
52_Geneve_vertex1,"6.096368,46.211851"
52_Geneve_vertex2,"6.095034,46.213393"
53_Geneve_center,"6.0937,46.214935"
53_Geneve_vertex1,"6.096291,46.214966"
53_Geneve_vertex2,"6.094957,46.216509"
54_Geneve_center,"6.093623,46.218051"
54_Geneve_vertex1,"6.096214,46.218082"
54_Geneve_vertex2,"6.09488,46.219624"
55_Geneve_center,"6.093546,46.221167"
55_Geneve_vertex1,"6.096137,46.221198"
55_Geneve_vertex2,"6.094803,46.22274"
56_Geneve_center,"6.093469,46.224283"
56_Geneve_vertex1,"6.09606,46.224313"
56_Geneve_vertex2,"6.094726,46.225856"
57_Geneve_center,"6.093392,46.227398"
57_Geneve_vertex1,"6.095983,46.227429"
57_Geneve_vertex2,"6.094649,46.228972"
58_Geneve_center,"6.093314,46.230514"
58_Geneve_vertex1,"6.095907,46.230545"
58_Geneve_vertex2,"6.094572,46.232087"
58_Geneve_vertex3,"6.09198,46.232056"
59_Geneve_center,"6.098623,46.17292"
59_Geneve_vertex1,"6.101213,46.17295"
59_Geneve_vertex2,"6.09988,46.174493"
59_Geneve_vertex3,"6.09729,46.174462"
59_Geneve_vertex4,"6.096034,46.172889"
59_Geneve_vertex5,"6.097367,46.171346"
59_Geneve_vertex6,"6.099956,46.171377"
60_Geneve_center,"6.098547,46.176035"
60_Geneve_vertex1,"6.101136,46.176066"
60_Geneve_vertex2,"6.099803,46.177609"
61_Geneve_center,"6.09847,46.179151"
61_Geneve_vertex1,"6.101059,46.179182"
61_Geneve_vertex2,"6.099726,46.180724"
62_Geneve_center,"6.098393,46.182267"
62_Geneve_vertex1,"6.100983,46.182297"
62_Geneve_vertex2,"6.09965,46.18384"
63_Geneve_center,"6.098316,46.185382"
63_Geneve_vertex1,"6.100906,46.185413"
63_Geneve_vertex2,"6.099573,46.186956"
64_Geneve_center,"6.09824,46.188498"
64_Geneve_vertex1,"6.10083,46.188529"
64_Geneve_vertex2,"6.099496,46.190071"
65_Geneve_center,"6.098163,46.191614"
65_Geneve_vertex1,"6.100753,46.191645"
65_Geneve_vertex2,"6.09942,46.193187"
66_Geneve_center,"6.098086,46.19473"
66_Geneve_vertex1,"6.100676,46.19476"
66_Geneve_vertex2,"6.099343,46.196303"
67_Geneve_center,"6.098009,46.197845"
67_Geneve_vertex1,"6.1006,46.197876"
67_Geneve_vertex2,"6.099266,46.199419"
68_Geneve_center,"6.097933,46.200961"
68_Geneve_vertex1,"6.100523,46.200992"
68_Geneve_vertex2,"6.099189,46.202534"
69_Geneve_center,"6.097856,46.204077"
69_Geneve_vertex1,"6.100447,46.204107"
69_Geneve_vertex2,"6.099113,46.20565"
70_Geneve_center,"6.097779,46.207192"
70_Geneve_vertex1,"6.10037,46.207223"
70_Geneve_vertex2,"6.099036,46.208766"
71_Geneve_center,"6.097702,46.210308"
71_Geneve_vertex1,"6.100293,46.210339"
71_Geneve_vertex2,"6.098959,46.211881"
72_Geneve_center,"6.097625,46.213424"
72_Geneve_vertex1,"6.100217,46.213455"
72_Geneve_vertex2,"6.098883,46.214997"
73_Geneve_center,"6.097548,46.21654"
73_Geneve_vertex1,"6.10014,46.21657"
73_Geneve_vertex2,"6.098806,46.218113"
74_Geneve_center,"6.097472,46.219655"
74_Geneve_vertex1,"6.100063,46.219686"
74_Geneve_vertex2,"6.098729,46.221229"
75_Geneve_center,"6.097395,46.222771"
75_Geneve_vertex1,"6.099986,46.222802"
75_Geneve_vertex2,"6.098652,46.224344"
76_Geneve_center,"6.097318,46.225887"
76_Geneve_vertex1,"6.09991,46.225917"
76_Geneve_vertex2,"6.098575,46.22746"
77_Geneve_center,"6.097241,46.229002"
77_Geneve_vertex1,"6.099833,46.229033"
77_Geneve_vertex2,"6.098499,46.230576"
78_Geneve_center,"6.097164,46.232118"
78_Geneve_vertex1,"6.099756,46.232149"
78_Geneve_vertex2,"6.098422,46.233691"
78_Geneve_vertex3,"6.09583,46.233661"
79_Geneve_center,"6.097087,46.235234"
79_Geneve_vertex1,"6.09968,46.235265"
79_Geneve_vertex2,"6.098345,46.236807"
79_Geneve_vertex3,"6.095753,46.236776"
79_Geneve_vertex4,"6.094495,46.235203"
80_Geneve_center,"6.102546,46.171408"
80_Geneve_vertex1,"6.105135,46.171439"
80_Geneve_vertex2,"6.103802,46.172981"
80_Geneve_vertex5,"6.101289,46.169835"
80_Geneve_vertex6,"6.103878,46.169865"
81_Geneve_center,"6.102469,46.174524"
81_Geneve_vertex1,"6.105058,46.174554"
81_Geneve_vertex2,"6.103726,46.176097"
82_Geneve_center,"6.102393,46.177639"
82_Geneve_vertex1,"6.104982,46.17767"
82_Geneve_vertex2,"6.103649,46.179212"
83_Geneve_center,"6.102316,46.180755"
83_Geneve_vertex1,"6.104906,46.180786"
83_Geneve_vertex2,"6.103573,46.182328"
84_Geneve_center,"6.10224,46.183871"
84_Geneve_vertex1,"6.104829,46.183901"
84_Geneve_vertex2,"6.103496,46.185444"
85_Geneve_center,"6.102163,46.186986"
85_Geneve_vertex1,"6.104753,46.187017"
85_Geneve_vertex2,"6.10342,46.18856"
86_Geneve_center,"6.102086,46.190102"
86_Geneve_vertex1,"6.104677,46.190133"
86_Geneve_vertex2,"6.103343,46.191675"
87_Geneve_center,"6.10201,46.193218"
87_Geneve_vertex1,"6.1046,46.193248"
87_Geneve_vertex2,"6.103267,46.194791"
88_Geneve_center,"6.101933,46.196334"
88_Geneve_vertex1,"6.104524,46.196364"
88_Geneve_vertex2,"6.10319,46.197907"
89_Geneve_center,"6.101857,46.199449"
89_Geneve_vertex1,"6.104447,46.19948"
89_Geneve_vertex2,"6.103114,46.201022"
90_Geneve_center,"6.10178,46.202565"
90_Geneve_vertex1,"6.104371,46.202596"
90_Geneve_vertex2,"6.103037,46.204138"
91_Geneve_center,"6.101704,46.205681"
91_Geneve_vertex1,"6.104295,46.205711"
91_Geneve_vertex2,"6.102961,46.207254"
92_Geneve_center,"6.101627,46.208796"
92_Geneve_vertex1,"6.104218,46.208827"
92_Geneve_vertex2,"6.102884,46.21037"
93_Geneve_center,"6.10155,46.211912"
93_Geneve_vertex1,"6.104142,46.211943"
93_Geneve_vertex2,"6.102808,46.213485"
94_Geneve_center,"6.101474,46.215028"
94_Geneve_vertex1,"6.104065,46.215059"
94_Geneve_vertex2,"6.102731,46.216601"
95_Geneve_center,"6.101397,46.218144"
95_Geneve_vertex1,"6.103989,46.218174"
95_Geneve_vertex2,"6.102655,46.219717"
96_Geneve_center,"6.101321,46.221259"
96_Geneve_vertex1,"6.103912,46.22129"
96_Geneve_vertex2,"6.102578,46.222832"
97_Geneve_center,"6.101244,46.224375"
97_Geneve_vertex1,"6.103836,46.224406"
97_Geneve_vertex2,"6.102502,46.225948"
98_Geneve_center,"6.101167,46.227491"
98_Geneve_vertex1,"6.103759,46.227521"
98_Geneve_vertex2,"6.102425,46.229064"
99_Geneve_center,"6.101091,46.230606"
99_Geneve_vertex1,"6.103683,46.230637"
99_Geneve_vertex2,"6.102348,46.23218"
100_Geneve_center,"6.101014,46.233722"
100_Geneve_vertex1,"6.103606,46.233753"
100_Geneve_vertex2,"6.102272,46.235295"
101_Geneve_center,"6.100937,46.236838"
101_Geneve_vertex1,"6.10353,46.236869"
101_Geneve_vertex2,"6.102195,46.238411"
101_Geneve_vertex3,"6.099603,46.23838"
102_Geneve_center,"6.106468,46.169896"
102_Geneve_vertex1,"6.109057,46.169927"
102_Geneve_vertex2,"6.107724,46.171469"
102_Geneve_vertex5,"6.105211,46.168323"
102_Geneve_vertex6,"6.1078,46.168353"
103_Geneve_center,"6.106391,46.173012"
103_Geneve_vertex1,"6.108981,46.173042"
103_Geneve_vertex2,"6.107648,46.174585"
104_Geneve_center,"6.106315,46.176127"
104_Geneve_vertex1,"6.108904,46.176158"
104_Geneve_vertex2,"6.107572,46.177701"
105_Geneve_center,"6.106239,46.179243"
105_Geneve_vertex1,"6.108828,46.179274"
105_Geneve_vertex2,"6.107495,46.180816"
106_Geneve_center,"6.106162,46.182359"
106_Geneve_vertex1,"6.108752,46.182389"
106_Geneve_vertex2,"6.107419,46.183932"
107_Geneve_center,"6.106086,46.185475"
107_Geneve_vertex1,"6.108676,46.185505"
107_Geneve_vertex2,"6.107343,46.187048"
108_Geneve_center,"6.10601,46.18859"
108_Geneve_vertex1,"6.1086,46.188621"
108_Geneve_vertex2,"6.107267,46.190163"
109_Geneve_center,"6.105933,46.191706"
109_Geneve_vertex1,"6.108524,46.191737"
109_Geneve_vertex2,"6.10719,46.193279"
110_Geneve_center,"6.105857,46.194822"
110_Geneve_vertex1,"6.108448,46.194852"
110_Geneve_vertex2,"6.107114,46.196395"
111_Geneve_center,"6.105781,46.197937"
111_Geneve_vertex1,"6.108371,46.197968"
111_Geneve_vertex2,"6.107038,46.199511"
112_Geneve_center,"6.105704,46.201053"
112_Geneve_vertex1,"6.108295,46.201084"
112_Geneve_vertex2,"6.106962,46.202626"
113_Geneve_center,"6.105628,46.204169"
113_Geneve_vertex1,"6.108219,46.204199"
113_Geneve_vertex2,"6.106885,46.205742"
114_Geneve_center,"6.105552,46.207285"
114_Geneve_vertex1,"6.108143,46.207315"
114_Geneve_vertex2,"6.106809,46.208858"
115_Geneve_center,"6.105475,46.2104"
115_Geneve_vertex1,"6.108066,46.210431"
115_Geneve_vertex2,"6.106733,46.211973"
116_Geneve_center,"6.105399,46.213516"
116_Geneve_vertex1,"6.10799,46.213547"
116_Geneve_vertex2,"6.106656,46.215089"
117_Geneve_center,"6.105323,46.216632"
117_Geneve_vertex1,"6.107914,46.216662"
117_Geneve_vertex2,"6.10658,46.218205"
118_Geneve_center,"6.105246,46.219747"
118_Geneve_vertex1,"6.107838,46.219778"
118_Geneve_vertex2,"6.106504,46.221321"
119_Geneve_center,"6.10517,46.222863"
119_Geneve_vertex1,"6.107762,46.222894"
119_Geneve_vertex2,"6.106427,46.224436"
120_Geneve_center,"6.105093,46.225979"
120_Geneve_vertex1,"6.107685,46.226009"
120_Geneve_vertex2,"6.106351,46.227552"
121_Geneve_center,"6.105017,46.229095"
121_Geneve_vertex1,"6.107609,46.229125"
121_Geneve_vertex2,"6.106275,46.230668"
122_Geneve_center,"6.104941,46.23221"
122_Geneve_vertex1,"6.107533,46.232241"
122_Geneve_vertex2,"6.106198,46.233783"
123_Geneve_center,"6.104864,46.235326"
123_Geneve_vertex1,"6.107456,46.235357"
123_Geneve_vertex2,"6.106122,46.236899"
124_Geneve_center,"6.104788,46.238442"
124_Geneve_vertex1,"6.10738,46.238472"
124_Geneve_vertex2,"6.106046,46.240015"
124_Geneve_vertex3,"6.103453,46.239984"
125_Geneve_center,"6.110389,46.168384"
125_Geneve_vertex1,"6.112978,46.168414"
125_Geneve_vertex2,"6.111646,46.169957"
125_Geneve_vertex5,"6.109133,46.166811"
125_Geneve_vertex6,"6.111722,46.166841"
126_Geneve_center,"6.110313,46.1715"
126_Geneve_vertex1,"6.112903,46.17153"
126_Geneve_vertex2,"6.11157,46.173073"
127_Geneve_center,"6.110237,46.174615"
127_Geneve_vertex1,"6.112827,46.174646"
127_Geneve_vertex2,"6.111494,46.176188"
128_Geneve_center,"6.110161,46.177731"
128_Geneve_vertex1,"6.112751,46.177762"
128_Geneve_vertex2,"6.111418,46.179304"
129_Geneve_center,"6.110085,46.180847"
129_Geneve_vertex1,"6.112675,46.180877"
129_Geneve_vertex2,"6.111342,46.18242"
130_Geneve_center,"6.110009,46.183962"
130_Geneve_vertex1,"6.112599,46.183993"
130_Geneve_vertex2,"6.111266,46.185536"
131_Geneve_center,"6.109933,46.187078"
131_Geneve_vertex1,"6.112523,46.187109"
131_Geneve_vertex2,"6.11119,46.188651"
132_Geneve_center,"6.109857,46.190194"
132_Geneve_vertex1,"6.112447,46.190224"
132_Geneve_vertex2,"6.111114,46.191767"
133_Geneve_center,"6.109781,46.19331"
133_Geneve_vertex1,"6.112371,46.19334"
133_Geneve_vertex2,"6.111038,46.194883"
134_Geneve_center,"6.109705,46.196425"
134_Geneve_vertex1,"6.112295,46.196456"
134_Geneve_vertex2,"6.110962,46.197998"
135_Geneve_center,"6.109629,46.199541"
135_Geneve_vertex1,"6.112219,46.199572"
135_Geneve_vertex2,"6.110886,46.201114"
136_Geneve_center,"6.109552,46.202657"
136_Geneve_vertex1,"6.112143,46.202687"
136_Geneve_vertex2,"6.11081,46.20423"
137_Geneve_center,"6.109476,46.205773"
137_Geneve_vertex1,"6.112067,46.205803"
137_Geneve_vertex2,"6.110734,46.207346"
138_Geneve_center,"6.1094,46.208888"
138_Geneve_vertex1,"6.111991,46.208919"
138_Geneve_vertex2,"6.110658,46.210461"
139_Geneve_center,"6.109324,46.212004"
139_Geneve_vertex1,"6.111915,46.212034"
139_Geneve_vertex2,"6.110582,46.213577"
140_Geneve_center,"6.109248,46.21512"
140_Geneve_vertex1,"6.111839,46.21515"
140_Geneve_vertex2,"6.110505,46.216693"
141_Geneve_center,"6.109172,46.218235"
141_Geneve_vertex1,"6.111763,46.218266"
141_Geneve_vertex2,"6.110429,46.219809"
142_Geneve_center,"6.109095,46.221351"
142_Geneve_vertex1,"6.111687,46.221382"
142_Geneve_vertex2,"6.110353,46.222924"
143_Geneve_center,"6.109019,46.224467"
143_Geneve_vertex1,"6.111611,46.224497"
143_Geneve_vertex2,"6.110277,46.22604"
144_Geneve_center,"6.108943,46.227583"
144_Geneve_vertex1,"6.111535,46.227613"
144_Geneve_vertex2,"6.110201,46.229156"
145_Geneve_center,"6.108867,46.230698"
145_Geneve_vertex1,"6.111459,46.230729"
145_Geneve_vertex2,"6.110125,46.232271"
146_Geneve_center,"6.108791,46.233814"
146_Geneve_vertex1,"6.111383,46.233845"
146_Geneve_vertex2,"6.110049,46.235387"
147_Geneve_center,"6.108714,46.23693"
147_Geneve_vertex1,"6.111307,46.23696"
147_Geneve_vertex2,"6.109973,46.238503"
148_Geneve_center,"6.108638,46.240045"
148_Geneve_vertex1,"6.111231,46.240076"
148_Geneve_vertex2,"6.109896,46.241619"
148_Geneve_vertex3,"6.107304,46.241588"
149_Geneve_center,"6.114311,46.166872"
149_Geneve_vertex1,"6.1169,46.166902"
149_Geneve_vertex2,"6.115568,46.168445"
149_Geneve_vertex5,"6.113054,46.165299"
149_Geneve_vertex6,"6.115643,46.165329"
150_Geneve_center,"6.114235,46.169987"
150_Geneve_vertex1,"6.116824,46.170018"
150_Geneve_vertex2,"6.115492,46.171561"
151_Geneve_center,"6.114159,46.173103"
151_Geneve_vertex1,"6.116749,46.173134"
151_Geneve_vertex2,"6.115416,46.174676"
152_Geneve_center,"6.114083,46.176219"
152_Geneve_vertex1,"6.116673,46.176249"
152_Geneve_vertex2,"6.11534,46.177792"
153_Geneve_center,"6.114008,46.179335"
153_Geneve_vertex1,"6.116597,46.179365"
153_Geneve_vertex2,"6.115265,46.180908"
154_Geneve_center,"6.113932,46.18245"
154_Geneve_vertex1,"6.116522,46.182481"
154_Geneve_vertex2,"6.115189,46.184023"
155_Geneve_center,"6.113856,46.185566"
155_Geneve_vertex1,"6.116446,46.185596"
155_Geneve_vertex2,"6.115113,46.187139"
156_Geneve_center,"6.11378,46.188682"
156_Geneve_vertex1,"6.11637,46.188712"
156_Geneve_vertex2,"6.115037,46.190255"
157_Geneve_center,"6.113704,46.191797"
157_Geneve_vertex1,"6.116294,46.191828"
157_Geneve_vertex2,"6.114961,46.193371"
158_Geneve_center,"6.113628,46.194913"
158_Geneve_vertex1,"6.116219,46.194944"
158_Geneve_vertex2,"6.114886,46.196486"
159_Geneve_center,"6.113552,46.198029"
159_Geneve_vertex1,"6.116143,46.198059"
159_Geneve_vertex2,"6.11481,46.199602"
160_Geneve_center,"6.113476,46.201145"
160_Geneve_vertex1,"6.116067,46.201175"
160_Geneve_vertex2,"6.114734,46.202718"
161_Geneve_center,"6.113401,46.20426"
161_Geneve_vertex1,"6.115991,46.204291"
161_Geneve_vertex2,"6.114658,46.205833"
162_Geneve_center,"6.113325,46.207376"
162_Geneve_vertex1,"6.115916,46.207406"
162_Geneve_vertex2,"6.114582,46.208949"
163_Geneve_center,"6.113249,46.210492"
163_Geneve_vertex1,"6.11584,46.210522"
163_Geneve_vertex2,"6.114506,46.212065"
164_Geneve_center,"6.113173,46.213608"
164_Geneve_vertex1,"6.115764,46.213638"
164_Geneve_vertex2,"6.11443,46.215181"
165_Geneve_center,"6.113097,46.216723"
165_Geneve_vertex1,"6.115688,46.216754"
165_Geneve_vertex2,"6.114355,46.218296"
166_Geneve_center,"6.113021,46.219839"
166_Geneve_vertex1,"6.115612,46.219869"
166_Geneve_vertex2,"6.114279,46.221412"
167_Geneve_center,"6.112945,46.222955"
167_Geneve_vertex1,"6.115537,46.222985"
167_Geneve_vertex2,"6.114203,46.224528"
168_Geneve_center,"6.112869,46.22607"
168_Geneve_vertex1,"6.115461,46.226101"
168_Geneve_vertex2,"6.114127,46.227644"
169_Geneve_center,"6.112793,46.229186"
169_Geneve_vertex1,"6.115385,46.229217"
169_Geneve_vertex2,"6.114051,46.230759"
170_Geneve_center,"6.112717,46.232302"
170_Geneve_vertex1,"6.115309,46.232332"
170_Geneve_vertex2,"6.113975,46.233875"
171_Geneve_center,"6.112641,46.235418"
171_Geneve_vertex1,"6.115233,46.235448"
171_Geneve_vertex2,"6.113899,46.236991"
172_Geneve_center,"6.112565,46.238533"
172_Geneve_vertex1,"6.115157,46.238564"
172_Geneve_vertex2,"6.113823,46.240106"
173_Geneve_center,"6.112489,46.241649"
173_Geneve_vertex1,"6.115082,46.241679"
173_Geneve_vertex2,"6.113747,46.243222"
173_Geneve_vertex3,"6.111155,46.243192"
174_Geneve_center,"6.118232,46.165359"
174_Geneve_vertex1,"6.120821,46.16539"
174_Geneve_vertex2,"6.119489,46.166932"
174_Geneve_vertex5,"6.116976,46.163786"
174_Geneve_vertex6,"6.119564,46.163817"
175_Geneve_center,"6.118157,46.168475"
175_Geneve_vertex1,"6.120746,46.168505"
